"url","url_length","num_dots","num_subdomains","has_at_symbol","has_hyphen_in_domain","uses_https","is_ip_address","uses_nonstandard_port","has_iframe","has_password_input","has_inline_script","anchor_text_mismatch","external_favicon","right_click_blocked","has_popups"
"https://acoe.annauniv.edu/sems/",31,2,1,false,false,true,false,"",false,false,false,true,false,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",true,false,true,true,true,false,true
"https://www.google.com/search?q=fraek&oq=fraek&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQLhiABDIJCAIQABgKGIAEMgcIAxAAGIAEMhIIBBAuGAoYxwEYsQMY0QMYgAQyDAgFEC4YChixAxiABDIMCAYQLhgKGLEDGIAEMgwIBxAAGAoYsQMYgAQyCQgIEAAYChiABNIBCDE2MTRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8",260,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://www.youtube.com/",24,2,1,false,false,true,false,"",true,false,true,true,false,false,true
"https://acoe.annauniv.edu/sems/login/student",44,2,1,false,false,true,false,"",false,true,true,true,false,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",true,false,true,true,true,false,true
"https://www.youtube.com/",24,2,1,false,false,true,false,"",true,false,true,true,false,false,true
"https://www.youtube.com/",24,2,1,false,false,true,false,"",true,false,true,true,false,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",false,false,true,true,true,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",false,false,true,true,true,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",false,false,true,true,true,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",true,false,true,true,true,false,true
"https://www.google.com/",23,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://zoro.se/",16,1,0,false,false,true,false,"",false,false,false,true,false,false,true
"https://github.com/",19,1,0,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.amazon.in/",22,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.bing.com/search?qs=AS&pq=flipkart&sk=CSYN1UAS4AS11LS2&sc=21-8&pglt=2083&q=flipkart&cvid=d3f6672a65984b6095c88228a5c4eb67&gs_lcrp=EgRlZGdlKgYIABAAGEAyBggAEAAYQDIGCAEQLhhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAFGEDSAQg2MjMzajBqMagCALACAA&FORM=ANNTA1&PC=U531",299,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.bing.com/ck/a?!&&p=878f255f191a37edcba92563acef02ba844825007b249e1c06a79927be72979bJmltdHM9MTc2MTY5NjAwMA&ptn=3&ver=2&hsh=4&fclid=3e1d7c04-31a7-638d-1cd0-6a9130d86233&psq=flipkart&u=a1aHR0cHM6Ly93d3cuZmxpcGthcnQuY29tLw&ntb=1",236,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.flipkart.com/",25,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://www.bing.com/ck/a?!&&p=b9e359a41d6ce1f1ba2ef07c2f3bd137e8e2ad359c6280e6890debe4221950a6JmltdHM9MTc2MTY5NjAwMA&ptn=3&ver=2&hsh=4&fclid=3e1d7c04-31a7-638d-1cd0-6a9130d86233&psq=microsoft+365&u=a1aHR0cHM6Ly93d3cub2ZmaWNlLmNvbS8&ntb=1",238,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.office.com/",23,2,1,false,false,true,false,"",true,false,true,true,true,false,true
"https://auist.net/",18,1,0,false,false,true,false,"",false,false,true,false,false,false,true
"https://auist.net/",18,1,0,false,false,true,false,"",false,false,true,false,false,false,true
"https://github.com/",19,1,0,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.google.com/search?q=10.11.15&oq=10.11.15&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABKgCALACAQ&sourceid=chrome&ie=UTF-8",120,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"http://10.11.155.187:8081/detect?url=annauniv.edu",49,3,2,false,false,false,true,true,false,false,false,false,false,false,true
"https://web.whatsapp.com/",25,2,1,false,false,true,false,"",false,false,true,false,true,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",true,false,true,true,true,false,true
"https://web.whatsapp.com/",25,2,1,false,false,true,false,"",false,false,true,false,true,false,true
"https://www.amazon.in/",22,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.amazon.in/",22,2,1,false,false,true,false,"",false,false,true,true,false,false,true
"https://www.google.com/",23,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://www.flipkart.com/",25,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://www.office.com/",23,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://chatgpt.com/c/68d538f0-5060-8321-8684-20d81ceebba4",58,1,0,false,false,true,false,"",true,false,true,true,true,false,true
"https://zoro.se/",16,1,0,false,false,true,false,"",false,false,false,true,false,false,true
"https://zoro.se/home",20,1,0,false,false,true,false,"",false,true,false,true,false,false,true
"https://eatcells.com/land/?token=4b4364ffa21c760dd6beff1d60f33c8a",65,1,0,false,false,true,false,"",false,false,true,true,false,false,true
"https://acoe.annauniv.edu/sems/login/student",44,2,1,false,false,true,false,"",false,true,true,true,false,false,true
"https://www.youtube.com/",24,2,1,false,false,true,false,"",true,false,true,true,false,false,true
"https://www.youtube.com/",24,2,1,false,false,true,false,"",true,false,true,false,false,false,true
"https://www.google.com/search?q=facebook%2Ccom&oq=facebook%2Ccom&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIMCAIQABgKGLEDGIAEMgcIAxAAGIAEMgcIBBAAGIAEMgcIBRAAGIAEMgkIBhAAGAoYgAQyBggHEAUYQNIBCDY0ODFqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8",234,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://www.facebook.com/",25,2,1,false,false,true,false,"",false,true,true,true,true,false,true
"https://auist.net/",18,1,0,false,false,true,false,"",false,false,true,false,false,false,true
"https://auist.net/",18,1,0,false,false,true,false,"",false,false,true,false,false,false,true
"https://www.google.com/search?q=fraek&oq=fraek&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQLhiABDIJCAIQABgKGIAEMgcIAxAAGIAEMhIIBBAuGAoYxwEYsQMY0QMYgAQyDAgFEC4YChixAxiABDIMCAYQLhgKGLEDGIAEMgwIBxAAGAoYsQMYgAQyCQgIEAAYChiABNIBCDE2MTRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8",260,2,1,false,false,true,false,"",false,false,true,true,true,false,true
"https://zoro.se/home",20,1,0,false,false,true,false,"",false,true,false,true,false,false,true
"https://zoro.se/home",20,1,0,false,false,true,false,"",false,true,false,true,false,false,true
"https://github.com/",19,1,0,false,false,true,false,"",false,false,true,true,false,false,true
